name,Fault_ID
Akatore,805
Backbone,795
Beaumont River,792
Billys Ridge,785
Cardrona - Hawea,808
Cluden,770
Cross Eden,776
Dunback Hill,788
Dunstan,771
Flat Stream - Glenpark,790
Galloway,780
Garibaldi,774
Gimmerburn,775
Goodger,768
Grandview,767
Green Island,802
Horse Flat,783
Hyde North,779
Hyde South - The Twins,794
Kaikorai,799
Lake Onslow,789
Lindis River,766
Little Valley,781
Logan Burn,791
Long Valley,784
Maungatua - North Taieri,798
Motatapu,807
Murphys Creek,787
Nichols Rock,796
NW Cardrona North,809
NW Cardrona South,810
Paddys Ridge,769
Pisa,772
Pylap,786
Raggedy - Blackstone,773
Ranfurly,777
Roaring Meg,811
Sliver Stream - Merton,793
Takapu,801
Timaru Creek,765
Titri South,806
Titri North,797
Titri Central,804
Waipiata,778
Waitahuna 1,800
