U2NhbGVkSW52ZXJzaW9uU29sdXRpb246MTIwNzIy [dmgeodetic, tdFalse, bN[0.823, 2.7], C4.2, s0.66]
U2NhbGVkSW52ZXJzaW9uU29sdXRpb246MTIwNzE3 [dmgeodetic, tdFalse, bN[0.823, 2.7], C4.2, s1.0]
U2NhbGVkSW52ZXJzaW9uU29sdXRpb246MTIwNzQx [dmgeodetic, tdFalse, bN[0.823, 2.7], C4.2, s1.41]
U2NhbGVkSW52ZXJzaW9uU29sdXRpb246MTIwNzYx [dmgeodetic, tdFalse, bN[0.959, 3.4], C4.2, s0.66]
U2NhbGVkSW52ZXJzaW9uU29sdXRpb246MTIwNzUz [dmgeodetic, tdFalse, bN[0.959, 3.4], C4.2, s1.0]
U2NhbGVkSW52ZXJzaW9uU29sdXRpb246MTIwNzU3 [dmgeodetic, tdFalse, bN[0.959, 3.4], C4.2, s1.41]
U2NhbGVkSW52ZXJzaW9uU29sdXRpb246MTIwNzM0 [dmgeodetic, tdFalse, bN[1.089, 4.6], C4.2, s0.66]
U2NhbGVkSW52ZXJzaW9uU29sdXRpb246MTIwNzI4 [dmgeodetic, tdFalse, bN[1.089, 4.6], C4.2, s1.0]
U2NhbGVkSW52ZXJzaW9uU29sdXRpb246MTIwNzMw [dmgeodetic, tdFalse, bN[1.089, 4.6], C4.2, s1.41]
U2NhbGVkSW52ZXJzaW9uU29sdXRpb246MTIwNzA4 [dmgeologic, tdFalse, bN[0.823, 2.7], C4.2, s0.66]
U2NhbGVkSW52ZXJzaW9uU29sdXRpb246MTIwNzA3 [dmgeologic, tdFalse, bN[0.823, 2.7], C4.2, s1.0]
U2NhbGVkSW52ZXJzaW9uU29sdXRpb246MTIwNzA1 [dmgeologic, tdFalse, bN[0.823, 2.7], C4.2, s1.41]
U2NhbGVkSW52ZXJzaW9uU29sdXRpb246MTIwNzAy [dmgeologic, tdFalse, bN[0.959, 3.4], C4.2, s0.66]
U2NhbGVkSW52ZXJzaW9uU29sdXRpb246MTIwNjk4 [dmgeologic, tdFalse, bN[0.959, 3.4], C4.2, s1.0]
U2NhbGVkSW52ZXJzaW9uU29sdXRpb246MTIwNjk2 [dmgeologic, tdFalse, bN[0.959, 3.4], C4.2, s1.41]
U2NhbGVkSW52ZXJzaW9uU29sdXRpb246MTIwNjcy [dmgeologic, tdFalse, bN[1.089, 4.6], C4.2, s0.66]
U2NhbGVkSW52ZXJzaW9uU29sdXRpb246MTIwNjc2 [dmgeologic, tdFalse, bN[1.089, 4.6], C4.2, s1.0]
U2NhbGVkSW52ZXJzaW9uU29sdXRpb246MTIwNjc1 [dmgeologic, tdFalse, bN[1.089, 4.6], C4.2, s1.41]
U2NhbGVkSW52ZXJzaW9uU29sdXRpb246MTIwODI2 [dmgeodetic, tdTrue, bN[0.823, 2.7], C4.2, s0.66]
U2NhbGVkSW52ZXJzaW9uU29sdXRpb246MTIwODQ2 [dmgeodetic, tdTrue, bN[0.823, 2.7], C4.2, s1.0]
U2NhbGVkSW52ZXJzaW9uU29sdXRpb246MTIwODI0 [dmgeodetic, tdTrue, bN[0.823, 2.7], C4.2, s1.41]
U2NhbGVkSW52ZXJzaW9uU29sdXRpb246MTIwODY1 [dmgeodetic, tdTrue, bN[0.959, 3.4], C4.2, s0.66]
U2NhbGVkSW52ZXJzaW9uU29sdXRpb246MTIwODYz [dmgeodetic, tdTrue, bN[0.959, 3.4], C4.2, s1.0]
U2NhbGVkSW52ZXJzaW9uU29sdXRpb246MTIwODY5 [dmgeodetic, tdTrue, bN[0.959, 3.4], C4.2, s1.41]
U2NhbGVkSW52ZXJzaW9uU29sdXRpb246MTIwODQ3 [dmgeodetic, tdTrue, bN[1.089, 4.6], C4.2, s0.66]
U2NhbGVkSW52ZXJzaW9uU29sdXRpb246MTIwODE4 [dmgeodetic, tdTrue, bN[1.089, 4.6], C4.2, s1.0]
U2NhbGVkSW52ZXJzaW9uU29sdXRpb246MTIwODM3 [dmgeodetic, tdTrue, bN[1.089, 4.6], C4.2, s1.41]
U2NhbGVkSW52ZXJzaW9uU29sdXRpb246MTIwODE1 [dmgeologic, tdTrue, bN[0.823, 2.7], C4.2, s0.66]
U2NhbGVkSW52ZXJzaW9uU29sdXRpb246MTIwODEx [dmgeologic, tdTrue, bN[0.823, 2.7], C4.2, s1.0]
U2NhbGVkSW52ZXJzaW9uU29sdXRpb246MTIwODE2 [dmgeologic, tdTrue, bN[0.823, 2.7], C4.2, s1.41]
U2NhbGVkSW52ZXJzaW9uU29sdXRpb246MTIwODA3 [dmgeologic, tdTrue, bN[0.959, 3.4], C4.2, s0.66]
U2NhbGVkSW52ZXJzaW9uU29sdXRpb246MTIwNzk2 [dmgeologic, tdTrue, bN[0.959, 3.4], C4.2, s1.0]
U2NhbGVkSW52ZXJzaW9uU29sdXRpb246MTIwODA5 [dmgeologic, tdTrue, bN[0.959, 3.4], C4.2, s1.41]
U2NhbGVkSW52ZXJzaW9uU29sdXRpb246MTIwNzg4 [dmgeologic, tdTrue, bN[1.089, 4.6], C4.2, s0.66]
U2NhbGVkSW52ZXJzaW9uU29sdXRpb246MTIwNzg3 [dmgeologic, tdTrue, bN[1.089, 4.6], C4.2, s1.0]
U2NhbGVkSW52ZXJzaW9uU29sdXRpb246MTIwNzc4 [dmgeologic, tdTrue, bN[1.089, 4.6], C4.2, s1.41]
